tool_id,brand,tool_type,material,source_file
AMPC-152A-25.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-26,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-26.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-27,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-27.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-28,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-28.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-29,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-29.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-30,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-30.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-31,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-31.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-32,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-32.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-33,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-33.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-34,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-34.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-35,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152A-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0100,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0101,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0102,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0104,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0106,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0108,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0110,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-0112,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
